"cohort","covariate","n_total","n_individual_nonmissing","missing_n","availability","source_field","within_cohort_variation","eligible_for_adjustment","used_in_adjustment","note"
"GSE92415 golimumab","Disease duration",59,0,59,"Not publicly released at participant level",NA,"Unavailable",FALSE,FALSE,"Not present in the GEO series matrix or accession-level supplementary metadata"
"GSE206285 ustekinumab","Disease duration",364,364,0,"Individual-level complete","GSE206285 additional metadata Field[Disease_duration]","Yes",TRUE,TRUE,"Released in years"
"GSE73661 VDZ trial","Disease duration",27,0,27,"Not publicly released at participant level",NA,"Unavailable",FALSE,FALSE,"Not present in the GEO series matrix or accession-level supplementary metadata"
"GSE73661 VDZ observational","Disease duration",13,0,13,"Not publicly released at participant level",NA,"Unavailable",FALSE,FALSE,"Not present in the GEO series matrix or accession-level supplementary metadata"
"GSE16879 IFX","Baseline disease activity",24,0,24,"Study-level eligibility only","GSE16879 overall design","No",FALSE,FALSE,"Biopsies were from actively inflamed mucosa; no participant-level severity score"
"GSE73661 IFX","Baseline disease activity",23,23,0,"Individual-level complete","GSE73661 mayo endoscopic subscore:ch1","Yes",TRUE,TRUE,"Endoscopic Mayo subscore; not interchangeable with total Mayo"
"GSE23597 IFX","Baseline disease activity",31,0,31,"Study-level eligibility only","GSE23597 overall design","No",FALSE,FALSE,"Moderate-to-severe active UC; no participant-level severity score"
"GSE92415 golimumab","Baseline disease activity",59,59,0,"Individual-level complete","GSE92415 mayo score:ch1","Yes",TRUE,TRUE,"Total Mayo score"
"GSE206285 ustekinumab","Baseline disease activity",364,364,0,"Individual-level complete","GSE206285 additional metadata Field[Mayo_score]","Yes",TRUE,TRUE,"Total Mayo score"
"GSE73661 VDZ trial","Baseline disease activity",27,27,0,"Individual-level complete","GSE73661 mayo endoscopic subscore:ch1","Yes",TRUE,TRUE,"Endoscopic Mayo subscore; not interchangeable with total Mayo"
"GSE73661 VDZ observational","Baseline disease activity",13,13,0,"Individual-level complete","GSE73661 mayo endoscopic subscore:ch1","Yes",TRUE,TRUE,"Endoscopic Mayo subscore; not interchangeable with total Mayo"
"GSE16879 IFX","Corticosteroid use",24,0,24,"Study-level eligibility only","GSE16879 overall design","No",FALSE,FALSE,"Refractory to corticosteroids and/or immunosuppression; current individual use unavailable"
"GSE73661 IFX","Corticosteroid use",23,0,23,"Not publicly released at participant level",NA,"Unavailable",FALSE,FALSE,"Not present in the GEO series matrix or accession-level supplementary metadata"
"GSE23597 IFX","Corticosteroid use",31,0,31,"Not publicly released at participant level",NA,"Unavailable",FALSE,FALSE,"Not present in the GEO series matrix or accession-level supplementary metadata"
"GSE92415 golimumab","Corticosteroid use",59,0,59,"Not publicly released at participant level",NA,"Unavailable",FALSE,FALSE,"Not present in the GEO series matrix or accession-level supplementary metadata"
"GSE206285 ustekinumab","Corticosteroid use",364,0,364,"Not publicly released at participant level",NA,"Unavailable",FALSE,FALSE,"Not present in the GEO series matrix or accession-level supplementary metadata"
"GSE73661 VDZ trial","Corticosteroid use",27,0,27,"Not publicly released at participant level",NA,"Unavailable",FALSE,FALSE,"Not present in the GEO series matrix or accession-level supplementary metadata"
"GSE73661 VDZ observational","Corticosteroid use",13,0,13,"Not publicly released at participant level",NA,"Unavailable",FALSE,FALSE,"Not present in the GEO series matrix or accession-level supplementary metadata"
"GSE16879 IFX","Prior biologic failure",24,0,24,"Not publicly released at participant level",NA,"Unavailable",FALSE,FALSE,"Not present in the GEO series matrix or accession-level supplementary metadata"
"GSE73661 IFX","Prior biologic failure",23,0,23,"Not publicly released at participant level",NA,"Unavailable",FALSE,FALSE,"Not present in the GEO series matrix or accession-level supplementary metadata"
"GSE23597 IFX","Prior biologic failure",31,0,31,"Not publicly released at participant level",NA,"Unavailable",FALSE,FALSE,"Not present in the GEO series matrix or accession-level supplementary metadata"
"GSE92415 golimumab","Prior biologic failure",59,0,59,"Not publicly released at participant level",NA,"Unavailable",FALSE,FALSE,"Not present in the GEO series matrix or accession-level supplementary metadata"
"GSE206285 ustekinumab","Prior biologic failure",364,364,0,"Proxy only","GSE206285 additional metadata Field[Anti_TNF_history]","Yes",TRUE,TRUE,"Prior anti-TNF exposure, not documented treatment failure; model and report use exposure wording"
"GSE73661 VDZ trial","Prior biologic failure",27,0,27,"Not publicly released at participant level",NA,"Unavailable",FALSE,FALSE,"Not present in the GEO series matrix or accession-level supplementary metadata"
"GSE73661 VDZ observational","Prior biologic failure",13,0,13,"Not publicly released at participant level",NA,"Unavailable",FALSE,FALSE,"Not present in the GEO series matrix or accession-level supplementary metadata"
"GSE16879 IFX","Disease extent",24,0,24,"Not publicly released at participant level",NA,"Unavailable",FALSE,FALSE,"Not present in the GEO series matrix or accession-level supplementary metadata"
"GSE73661 IFX","Disease extent",23,0,23,"Not publicly released at participant level",NA,"Unavailable",FALSE,FALSE,"Not present in the GEO series matrix or accession-level supplementary metadata"
"GSE23597 IFX","Disease extent",31,0,31,"Not publicly released at participant level",NA,"Unavailable",FALSE,FALSE,"Not present in the GEO series matrix or accession-level supplementary metadata"
"GSE92415 golimumab","Disease extent",59,0,59,"Not publicly released at participant level",NA,"Unavailable",FALSE,FALSE,"Not present in the GEO series matrix or accession-level supplementary metadata"
"GSE206285 ustekinumab","Disease extent",364,0,364,"Not publicly released at participant level",NA,"Unavailable",FALSE,FALSE,"Not present in the GEO series matrix or accession-level supplementary metadata"
"GSE73661 VDZ trial","Disease extent",27,0,27,"Not publicly released at participant level",NA,"Unavailable",FALSE,FALSE,"Not present in the GEO series matrix or accession-level supplementary metadata"
"GSE73661 VDZ observational","Disease extent",13,0,13,"Not publicly released at participant level",NA,"Unavailable",FALSE,FALSE,"Not present in the GEO series matrix or accession-level supplementary metadata"
"GSE16879 IFX","Biopsy site",24,0,24,"Study-level constant; exact site not released","GEO sample/series metadata","No",FALSE,FALSE,"Colonic mucosa; exact participant-level location unavailable"
"GSE73661 IFX","Biopsy site",23,0,23,"Study-level constant; exact site not released","GEO sample/series metadata","No",FALSE,FALSE,"Colonic mucosa; exact participant-level location unavailable"
"GSE23597 IFX","Biopsy site",31,0,31,"Study-level constant","GEO series design/protocol","No",FALSE,FALSE,"Protocol-fixed distal/sigmoid colon at approximately 15-20 cm from the anal verge"
"GSE92415 golimumab","Biopsy site",59,0,59,"Study-level constant","GEO series design/protocol","No",FALSE,FALSE,"Protocol-fixed distal/sigmoid colon at approximately 15-20 cm from the anal verge"
"GSE206285 ustekinumab","Biopsy site",364,0,364,"Study-level constant","GEO series design/protocol","No",FALSE,FALSE,"Protocol-fixed distal/sigmoid colon at approximately 15-20 cm from the anal verge"
"GSE73661 VDZ trial","Biopsy site",27,0,27,"Study-level constant; exact site not released","GEO sample/series metadata","No",FALSE,FALSE,"Colonic mucosa; exact participant-level location unavailable"
"GSE73661 VDZ observational","Biopsy site",13,0,13,"Study-level constant; exact site not released","GEO sample/series metadata","No",FALSE,FALSE,"Colonic mucosa; exact participant-level location unavailable"
